AÑO;MES;CONGLOME;VIVIENDA;HOGAR;CODPERSO;CODINFOR;UBIGEO;DOMINIO;ESTRATO;PERIODO;P2400A;P2400B;P2400C;P2400D;P2400E;P2400F;P2400G;P2400H;P2400I;P2400J;P2400K;P2400L;P2400M;FACTORA07;NCONGLOME;SUB_CONGLOME
2022;1;6807;53;11;2;2;110503;2;5;4;0;4750;4100;4500;0;0;150;0;400;0;0;190;14090;145.9544983;34127;0
2022;1;6807;79;11;1;1;110503;2;5;4;0;2200;6800;7100;620;290;350;0;600;0;0;350;18310;126.4365692;34127;0
2022;1;6807;92;11;2;2;110503;2;5;4;0;4500;7200;3800;1800;0;600;0;420;0;0;2300;20620;86.73538208;34127;0
2022;1;6893;72;11;1;1;120114;5;2;2;0;0;100;0;0;0;0;0;0;0;0;0;100;209.9725952;31876;0
2022;1;6975;147;11;1;1;120201;5;5;2;150;1568;2500;530;600;80;150;0;0;0;0;0;5578;555.5095215;31600;0
2022;1;7031;18;11;1;1;120404;5;6;3;0;0;0;0;0;0;0;0;128;0;0;0;128;137.2660522;31496;0
2022;1;7031;89;11;1;1;120404;5;6;3;0;90;150;0;0;0;0;0;10;0;0;0;250;110.0330658;31496;0
2022;1;7031;117;11;2;2;120404;5;6;3;0;25;0;2;0;0;0;0;0;0;0;0;27;168.3606262;31496;0
2022;1;7031;132;11;1;1;120404;5;6;3;0;128;0;0;100;0;0;0;10;70;0;0;308;91.02378845;31496;0
2022;1;7243;39;11;1;2;131103;4;7;4;0;241;500;65;200;0;0;0;0;0;0;150;1156;111.164299;11355;0
2022;1;7243;43;11;1;2;131103;4;7;4;0;35;640;60;175;30;0;0;0;0;0;200;1140;147.8006744;11355;0
2022;1;7243;121;11;1;1;131103;4;7;4;0;10;65;30;0;0;0;0;0;0;0;0;105;220.2281952;11355;0
2022;1;7243;122;11;1;1;131103;4;7;4;0;15;540;30;0;10;0;0;0;0;0;0;595;414.6555176;11355;0
2022;1;7243;123;11;1;1;131103;4;7;4;0;0;0;0;0;16;0;0;0;0;0;0;16;152.6811371;11355;0
2022;1;7243;124;11;1;1;131103;4;7;4;0;0;200;0;0;0;0;0;0;0;0;84;284;220.2281952;11355;0
2022;1;7250;27;11;1;1;130614;4;7;4;0;56;220;266;0;0;0;0;0;0;0;240;782;112.0797043;11439;0
2022;1;7250;28;11;2;2;130614;4;7;4;0;562;1000;900;0;140;0;0;0;0;0;200;2802;208.0750275;11439;0
2022;1;7250;30;11;1;1;130614;4;7;4;0;117;82;85;0;0;0;0;0;0;0;0;284;180.7620239;11439;0
2022;1;7250;80;11;1;1;130614;4;7;4;0;330;400;55;0;0;0;0;0;0;0;0;785;414.6555176;11439;0
2022;1;7250;81;11;1;1;130614;4;7;4;0;1821;3260;800;420;200;0;0;0;0;0;1300;7801;220.2281952;11439;0
2022;1;7250;82;11;1;1;130614;4;7;4;0;105;1200;80;0;16;0;0;0;0;0;150;1551;111.164299;11439;0
2022;1;7250;84;11;1;1;130614;4;7;4;0;946;0;1000;270;150;0;0;0;0;0;900;3266;414.6555176;11439;0
2022;1;7477;41;11;1;1;140102;1;7;3;0;800;2000;270;3600;100;0;0;0;0;0;750;7520;69.36356354;4253;0
2022;1;7477;42;11;1;1;140102;1;7;3;0;90;400;350;0;350;0;0;0;0;0;600;1790;90.89492035;4253;0
2022;1;7477;85;11;1;1;140102;1;7;3;4000;3200;110;300;3000;0;200;0;2000;0;0;2200;15010;145.6602783;4253;0
2022;1;7477;86;11;1;1;140102;1;7;3;0;0;0;20;0;0;0;0;10;0;0;0;30;88.73365021;4253;0
2022;1;7477;91;11;2;2;140102;1;7;3;0;0;0;0;0;0;0;0;5;0;0;0;5;97.92736053;4253;0
2022;1;7477;92;11;2;2;140102;1;7;3;0;0;0;0;0;0;0;0;5;0;0;0;5;46.33945847;4253;0
2022;1;8052;3;11;1;4;150601;2;3;4;0;10;0;2000;0;0;200;0;0;0;0;0;2210;140.4068146;17047;0
2022;1;8260;72;11;1;1;160301;7;5;2;0;0;0;0;0;0;0;0;0;0;0;10;10;349.3192444;7398;0
2022;1;8455;47;11;1;1;170101;7;7;4;0;276;0;3608;0;175;0;0;0;0;0;0;4059;36.05462265;39034;0
2022;1;8455;51;11;1;1;170101;7;7;4;0;80;0;0;0;60;0;0;0;0;0;0;140;18.50853157;39034;0
2022;1;8514;3;11;1;1;180101;3;3;2;0;0;30;0;0;0;0;0;0;0;0;0;30;143.0916901;43949;0
2022;1;8514;17;11;1;1;180101;3;3;2;0;2;250;90;0;0;0;0;0;300;0;70;712;142.3566742;43949;0
2022;1;8858;12;11;1;1;200605;1;4;2;0;0;350;160;300;0;80;0;150;0;0;0;1040;403.6656494;1107;0
2022;1;8858;22;11;3;3;200605;1;4;2;0;150;1000;80;630;220;0;0;250;0;0;0;2330;403.6656494;1107;0
2022;1;8858;35;11;4;4;200605;1;4;2;0;0;80;0;0;0;0;0;70;0;0;0;150;260.0426636;1107;0
2022;1;8862;86;11;1;1;200110;1;4;4;0;200;300;350;500;25;0;0;220;0;0;400;1995;477.3258057;1754;0
2022;1;8954;3;11;1;1;200405;1;8;4;0;0;70;120;1200;100;0;0;80;0;0;470;2040;109.5438614;2654;0
2022;1;8954;4;11;1;1;200405;1;8;4;0;260;130;500;500;0;0;0;500;0;0;1100;2990;126.1866531;2654;0
2022;1;8954;85;11;1;1;200405;1;8;4;0;10;100;200;100;0;0;0;0;0;0;100;510;214.315033;2654;0
2022;1;8956;18;11;1;1;200406;1;7;4;0;0;600;90;0;0;0;0;40;0;0;0;730;223.5123901;2701;0
2022;1;8956;19;11;1;1;200406;1;7;4;0;0;0;0;0;20;0;0;0;0;0;0;20;272.7117615;2701;0
2022;1;8956;20;11;1;1;200406;1;7;4;0;12;0;0;0;10;1200;0;0;0;0;0;1222;142.0879974;2701;0
2022;1;8956;21;11;1;1;200406;1;7;4;0;0;0;0;0;20;0;0;0;0;0;0;20;227.104599;2701;0
2022;1;8956;150;11;1;1;200406;1;7;4;0;0;300;150;0;0;260;0;0;0;0;40;750;265.0915222;2701;0
2022;1;8956;151;11;1;1;200406;1;7;4;0;100;20;0;0;0;0;0;480;0;0;0;600;142.0879974;2701;0
